Name;Letterboxd URI;Id;IMDB Id
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;https://boxd.it/29eY;51218;tt0057012
Ferris Bueller's Day Off;https://boxd.it/1YPY;47219;tt0091042
Three Thousand Years of Longing;https://boxd.it/kmoy;485265;tt9198364
The Father;https://boxd.it/m8Ie;527671;tt10272386
The Guilty;https://boxd.it/kOPW;496198;tt9421570
Beetlejuice;https://boxd.it/24QI;49530;tt0094721
Last Night in Soho;https://boxd.it/lbJC;505000;tt9639470
Nathan for You: Finding Frances;https://boxd.it/hufy;416786;tt7277634
Spellbound;https://boxd.it/lQ9U;520539;tt7215232
Killers of the Flower Moon;https://boxd.it/gHp0;398009;tt5537002
Dune: Part Two;https://boxd.it/pUfA;617443;tt15239678
Comrades, Almost a Love Story;https://boxd.it/18QU;27236;tt0117905
2046;https://boxd.it/29tu;51308;tt0212712
If Beale Street Could Talk;https://boxd.it/gGhu;397578;tt7125860
Eighth Grade;https://boxd.it/hDMG;420451;tt7014006
Nobody Knows;https://boxd.it/26E0;50220;tt0408664
The Night of the 12th;https://boxd.it/yQoG;830457;tt16953666
Chungking Express;https://boxd.it/1UDa;45602;tt0109424
The Grand Budapest Hotel;https://boxd.it/3ZqO;95113;tt2278388
The Unbearable Weight of Massive Talent;https://boxd.it/o6eK;574385;tt11291274
Frances Ha;https://boxd.it/41Xg;96083;tt2347569
Paterson;https://boxd.it/cRk2;306491;tt5247022
Blue Valentine;https://boxd.it/MxG;18660;tt1120985
Lost Illusions;https://boxd.it/oxSW;585013;tt10505316
Hunt for the Wilderpeople;https://boxd.it/cTgG;307239;tt4698684
A Monster Calls;https://boxd.it/7DjE;181943;tt3416532
Turning Red;https://boxd.it/ipkq;438727;tt8097030
Dark Waters;https://boxd.it/kaYu;480875;tt9071322
X;https://boxd.it/sxVa;680358;tt13560574
Wheel of Fortune and Fantasy;https://boxd.it/tWcm;713523;tt14034966
West Side Story;https://boxd.it/iwt0;441471;tt3581652
Lady Vengeance;https://boxd.it/248G;49257;tt0451094
